,cluster,country,fertility,life_expect,pop,year,population,flag,YEAR,P10
0,0,Afghanistan,7.7,30.332,8891209,1955,8891209,1,55,6.948960819
1,0,Afghanistan,7.7,31.997,9829450,1960,9829450,1,60,6.9925292179
10,0,Afghanistan,7.0685,43.828,29928987,2005,29928987,1,5,7.4760920176
100,3,Bolivia,6.63,43.428,3434073,1960,3434073,1,60,6.535809523
101,3,Bolivia,6.56,45.032,3853315,1965,3853315,1,65,6.5858345131
102,3,Bolivia,6.5,46.714,4346218,1970,4346218,1,70,6.6381115061
103,3,Bolivia,5.8,50.023,4914316,1975,4914316,1,75,6.691463079
104,3,Bolivia,5.2995,53.859,5441298,1980,5441298,1,80,6.7357025113
105,3,Bolivia,5.0,57.251,5934935,1985,5934935,1,85,6.7734159669
106,3,Bolivia,4.8,59.957,6573900,1990,6573900,1,90,6.8178230935
107,3,Bolivia,4.324,62.05,7376582,95,7376582,1,95,6.8678551745
108,3,Bolivia,3.9585,63.883,8152620,2000,8152620,1,0,6.9112972
109,3,Bolivia,3.5,65.554,8857870,2005,8857870,1,5,6.9473293022
11,3,Argentina,3.1265,64.399,18,1955,18,1,55,1.2552725051
110,3,Brazil,6.1501,53.285,61773546,1955,61773546,1,55,7.790802532
111,3,Brazil,6.1501,55.665,71694810,1960,71694810,1,60,7.8554877182
112,3,Brazil,5.38,57.632,83092908,1965,83092908,1,65,7.9195639582
113,3,Brazil,4.7175,59.504,95684297,1970,95684297,1,70,7.9808406704
114,3,Brazil,4.305,61.489,108823732,1975,108823732,1,75,8.0367236155
115,3,Brazil,3.8,63.336,122958132,1980,122958132,1,80,8.0897572567
116,3,Brazil,3.1,65.205,137302933,1985,137302933,1,85,8.1376798145
117,3,Brazil,2.6,67.057,151083809,1990,151083809,1,90,8.1792179254
118,3,Brazil,2.45,69.388,163542501,95,163542501,1,95,8.213630635
119,3,Brazil,2.345,71.006,175552771,2000,175552771,1,0,8.2444076889
12,3,Argentina,3.0895,65.142,20,1960,20,1,60,1.3010299957
120,3,Brazil,2.245,72.39,186112794,2005,186112794,1,5,8.269776229
121,3,Canada,3.882,69.96,16050356,1955,16050356,1,55,7.2054846696
122,3,Canada,3.675,71.3,18266765,1960,18266765,1,60,7.2616616417
123,3,Canada,2.61,72.13,20071104,1965,20071104,1,65,7.3025712613
124,3,Canada,1.976,72.88,21749986,1970,21749986,1,70,7.3374589817
125,3,Canada,1.734,74.21,23209200,1975,23209200,1,75,7.365660171
126,3,Canada,1.634,75.76,24593300,1980,24593300,1,80,7.3908168075
127,3,Canada,1.616,76.86,25941600,1985,25941600,1,85,7.4139967586
128,3,Canada,1.694,77.95,27790600,1990,27790600,1,90,7.4438979233
129,3,Canada,1.564,78.61,29619002,95,29619002,1,95,7.4715704211
13,3,Argentina,3.049,65.634,22283100,1965,22283100,1,65,7.3479756093
130,3,Canada,1.522,79.77,31278097,2000,31278097,1,0,7.4952403222
131,3,Canada,1.527,80.653,32805041,2005,32805041,1,5,7.5159405849
132,3,Chile,5.486,56.074,6743269,1955,6743269,1,55,6.8288704847
133,3,Chile,5.4385,57.924,7585349,1960,7585349,1,60,6.8799755674
134,3,Chile,4.4405,60.523,8509950,1965,8509950,1,65,6.9299270084
135,3,Chile,3.63,63.441,9368558,1970,9368558,1,70,6.9716727498
136,3,Chile,2.803,67.052,10251542,1975,10251542,1,75,7.0107891953
137,3,Chile,2.671,70.565,11093718,1980,11093718,1,80,7.045077122
138,3,Chile,2.65,72.492,12066701,1985,12066701,1,85,7.0815885515
139,3,Chile,2.55,74.126,13127760,1990,13127760,1,90,7.1181906284
14,3,Argentina,3.1455,67.065,23962313,1970,23962313,1,70,7.3795287367
140,3,Chile,2.21,75.816,14205449,95,14205449,1,95,7.1524549653
141,3,Chile,2.0,77.86,15153450,2000,15153450,1,0,7.1805115203
142,3,Chile,1.944,78.553,15980912,2005,15980912,1,5,7.20360156
143,4,China,5.59,50.54896,608655000,1955,608655000,1,55,8.784371194
144,4,China,5.72,44.50136,667070000,1960,667070000,1,60,8.8241714097
145,4,China,6.06,58.38112,715185000,1965,715185000,1,65,8.8544183972
146,4,China,4.86,63.11888,818315000,1970,818315000,1,70,8.912920512
147,4,China,3.32,63.96736,916395000,1975,916395000,1,75,8.9620827109
148,4,China,2.55,65.525,981235000,1980,981235000,1,80,8.9917730308
149,4,China,2.46,67.274,1051040000,1985,1051040000,1,85,9.0216192445
15,3,Argentina,3.44,68.481,26081880,1975,26081880,1,75,7.4163388924
150,4,China,1.92,68.69,1135185000,1990,1135185000,1,90,9.0550666438
151,4,China,1.781,70.426,1204855000,95,1204855000,1,95,9.0809347843
152,4,China,1.7,72.028,1262645000,2000,1262645000,1,0,9.1012812633
153,4,China,1.725,72.961,1303182268,2005,1303182268,1,5,9.115005162
154,3,Colombia,6.76,55.118,13588405,1955,13588405,1,55,7.1331684825
155,3,Colombia,6.76,57.863,15952727,1960,15952727,1,60,7.2028349331
156,3,Colombia,6.18,59.963,18646175,1965,18646175,1,65,7.2705897559
157,3,Colombia,5.0005,61.623,21429658,1970,21429658,1,70,7.3310152401
158,3,Colombia,4.3385,63.837,24114177,1975,24114177,1,75,7.3822724443
159,3,Colombia,3.685,66.653,26582811,1980,26582811,1,80,7.4246009035
16,3,Argentina,3.15,69.942,28369799,1980,28369799,1,80,7.4528562588
160,3,Colombia,3.172,67.768,29678395,1985,29678395,1,85,7.4724404107
161,3,Colombia,2.93005,68.421,32858579,1990,32858579,1,90,7.516648778
162,3,Colombia,2.7,70.313,36280883,95,36280883,1,95,7.5596778483
163,3,Colombia,2.4705,71.682,39685655,2000,39685655,1,0,7.5986335526
164,3,Colombia,2.2205,72.889,42954279,2005,42954279,1,5,7.6330064337
165,3,Costa Rica,7.1135,60.026,1031782,1955,1031782,1,55,6.0135879471
166,3,Costa Rica,7.2245,62.842,1248022,1960,1248022,1,60,6.0962222411
167,3,Costa Rica,5.801,65.424,1487605,1965,1487605,1,65,6.1724876294
168,3,Costa Rica,4.346,67.849,1735523,1970,1735523,1,70,6.2394303735
169,3,Costa Rica,3.7755,70.75,1991580,1975,1991580,1,75,6.2991977563
17,3,Argentina,3.053,70.774,30675059,1985,30675059,1,85,7.4867854067
170,3,Costa Rica,3.527,73.45,2299124,1980,2299124,1,80,6.361562395
171,3,Costa Rica,3.374,74.752,2643808,1985,2643808,1,85,6.4222299124
172,3,Costa Rica,2.945,75.713,3027175,1990,3027175,1,90,6.4810375281
173,3,Costa Rica,2.5835,77.26,3383786,95,3383786,1,95,6.5294028892
174,3,Costa Rica,2.2815,78.123,3710558,2000,3710558,1,0,6.5694392245
175,3,Costa Rica,2.0985,78.782,4016173,2005,4016173,1,5,6.6038124121
176,1,Croatia,2.42,64.77,3955526,1955,3955526,1,55,6.5972042435
177,1,Croatia,2.27,67.13,4036145,1960,4036145,1,60,6.60596676
178,1,Croatia,2.09,68.5,4133313,1965,4133313,1,65,6.616298294
179,1,Croatia,1.96,69.61,4205389,1970,4205389,1,70,6.6238061744
18,3,Argentina,2.9,71.868,33022202,1990,33022202,1,90,7.5188060297
180,1,Croatia,2.02,70.64,4255000,1975,4255000,1,75,6.6288995644
181,1,Croatia,1.96,70.46,4383000,1980,4383000,1,80,6.6417714707
182,1,Croatia,1.84,71.52,4457874,1985,4457874,1,85,6.6491277892
183,1,Croatia,1.52,72.527,4508347,1990,4508347,1,90,6.6540173356
184,1,Croatia,1.537,73.68,4496683,95,4496683,1,95,6.6528922724
185,1,Croatia,1.348,74.876,4410830,2000,4410830,1,0,6.6445203197
186,1,Croatia,1.346,75.748,4495904,2005,4495904,1,5,6.6528170293
187,3,Cuba,3.6995,62.325,6381106,1955,6381106,1,55,6.804895959
